,May I take it that the assembly wishes to take note of those items that remain open for consideration,The agenda was adopted,Amend the agenda to,I have been authorized to make the following statement on behalf of the assembly,Refer the matter,Report of the Committee,Point of Order,Right of reply,To adjourn the debate,May I take it that it is the wish of the General Assembly to conclude its consideration,To suspend the meeting,To adjourn the meeting,To introduce a draft amendment to the draft resolution,The Assembly will now take a decision on draft resolution,Objection to consideration of the question,To withdraw,Reconsideration of the,Appoint a Committee,A recorded vote has been requested,A paragraph-by-paragraph vote on the draft resolution,Sanctions,Peacekeeping,Peacemaking,The draft resolution was adopted,meeting,date
169,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,A_63_PV.29-EN,2008
170,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.4_50_SR.2-EN,1995
171,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,A_C.3_58_SR.36-EN,2003
172,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_68_PV.106-EN,2014
173,0,0,0,0,0,4,0,0,0,0,0,0,7,7,0,2,0,0,0,7,0,0,0,0,A_C.6_66_SR.29-EN,2012
174,0,1,0,0,0,16,1,3,0,3,0,0,0,1,0,0,0,5,3,1,0,0,0,14,A_58_PV.75-EN,2003
175,0,0,0,0,0,10,2,6,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,7,A_61_PV.82-EN,2006
176,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,A_54_PV.57-EN,1999
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_74_PV.16-EN,2019
178,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,A_58_PV.58-EN,2003
179,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,A_63_PV-45-EN,2008
180,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,A_C.5_62_SR.10-EN,2007
181,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,A_C.5_69_SR.5-EN,2014
182,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,A_69_PV.10-EN,2014
183,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,1,0,0,0,4,0,0,0,0,A_C.3_65_SR.15-EN,2010
